Review Text,Review Date,Helpful Votes,Verified Purchase,Imp_Words,Sentiment,Sentiment Score,Positive_Sentence_Count,Negative_Sentence_Count,Neutral_Sentence_Count,Reliability,Review_Length
"Click to play video
Awesome product from Apple. Totally worth it.",Reviewed in India on 2 May 2025,0,Yes,7,POSITIVE,0.467,2,0,1,RELIABLE,11
"Impressive! One of the best wireless EarPods on earth. If like me, you are not a fan of rubber or silicon eartips, this is best AirPods that you can buy. The sound quality is amazing. I’m surprised and in love with the clarity of sound, Spatial Audio is super impressive. What’s most surprising is even though it doesn’t have the silicon tips, the bass is just wow. I’m super happy with these AirPods. I have used AirPods, AirPods Pro 1 and 2. This one ranks right on top.",Reviewed in India on 11 February 2025,7,Yes,49,POSITIVE,0.711,8,0,1,RELIABLE,88
Amazing product ❤️,Reviewed in India on 8 April 2025,0,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,3
"Product is Apple iPhone 16e so given its enormous competition with Japan and South Korean phones a better presentation and literature is needed.
Product design does not allow it to locate inside the ear unlike the excellent fit of Jabra (both comfort, and ANC ) when you cannot change fit size and always slides out at night leaving you to grovel where it has gone in the dark.
It is not significantly better audio wise than the ipod2 pro which I own.",Reviewed in India on 10 March 2025,0,Yes,39,NEGATIVE,-0.433,0,2,1,RELIABLE,82
"Thoda loose lagta hai, but thik hai. Cost ke hisab se kuch itna bhi khaas nahi lagta.",Reviewed in India on 21 November 2024,0,Yes,15,NEGATIVE,-0.25,0,1,1,RELIABLE,17
As i upgraded from airpods 2 its good but and fitting is very good but still sound is low and it come without cable which sucks,Reviewed in India on 1 November 2024,0,Yes,11,NEUTRAL,0.0,2,2,0,UNRELIABLE,26
Ok not so satisfying.. sound quality is not soo good,Reviewed in India on 9 May 2025,4,Yes,7,NEGATIVE,-0.55,0,2,0,RELIABLE,10
Very high quality airpods. Loved it,Reviewed in India on 29 March 2025,15,Yes,4,POSITIVE,0.75,2,0,0,RELIABLE,6
Over price product,Reviewed in India on 11 May 2025,0,Yes,3,NEUTRAL,0.0,0,0,1,UNRELIABLE,3
Inside package was dusty. Feel not good.,Reviewed in India on 17 March 2025,0,Yes,4,NEGATIVE,-0.55,0,2,0,RELIABLE,7
AirPods were excellent,Reviewed in India on 20 March 2025,0,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,3
"Works well with apple products but if need to connect to your windows laptop, there are issues (microphone does not work for me) and Apple support cannot help you unless you are connecting to an Apple device. No point in buying from Amazon as Amazon is useless for this transaction. Does not help with replacement or return or anything. We just have to deal with Apple support or visit service center.",Reviewed in India on 24 January 2025,0,Yes,33,NEGATIVE,-0.625,0,4,0,RELIABLE,71
Its really an amazing product..It fits your ears and give you lot of comfort….. Its easy to use … The functions are very simple and good to use,Reviewed in India on 11 February 2025,0,Yes,12,POSITIVE,0.7,3,0,0,RELIABLE,28
10/10 product,Reviewed in India on 17 March 2025,0,Yes,1,NEUTRAL,0.0,0,0,1,UNRELIABLE,2
"I got it at Rs 11,999 with cash back offer and I think this is one of the best airpods out there with latest chip yet offering new features like head gesture on a non-pro airpods. Although it lacks ANC and wireless charging I think it is bank for the buck. It sits perfectly in my ear and I can wear for long without any discomfort. Battery life is descent. Pairing with both my iPhone and mac is so seamless. Totally recommended",Reviewed in India on 24 November 2024,0,Yes,47,POSITIVE,0.55,6,0,0,RELIABLE,82
"Sound is amazing, noise cancellation working good but the case should have option of magnetic charging.",Reviewed in India on 21 September 2024,6,Yes,10,POSITIVE,0.333,2,1,0,RELIABLE,16
"Do not buy from Amazon, specially Apple products.

I’ve been sold a USED PRODUCT with only half warranty left and poorly performing product.

Box was damaged, AirPods not performing properly, warranty left only for 6 months",Reviewed in India on 22 May 2025,0,Yes,20,NEGATIVE,-0.7,0,3,0,RELIABLE,36
"Better in terms of price, fit and sound quality than AirPods 3. If you like without silicone tip then you gonna love it!!",Reviewed in India on 27 January 2025,0,Yes,14,POSITIVE,0.7,3,0,0,RELIABLE,23
"All found perfectly fine, unless need to improve in finger touch",Reviewed in India on 13 February 2025,0,Yes,5,NEUTRAL,0.05,1,1,0,UNRELIABLE,11
I have received a used product and date of warranty is lesser than one year.,Reviewed in India on 25 May 2025,0,Yes,8,NEGATIVE,-0.65,0,2,0,RELIABLE,15
Not upto the mark and not worthy buying. No value for money,Reviewed in India on 22 May 2025,0,Yes,6,NEGATIVE,-0.467,0,2,1,RELIABLE,12
Excellent Product,Reviewed in India on 15 February 2025,0,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,2
"VERY POOR QUALITY ....ACTUALLY AMAZON NEED TO CLOSE THE BUSINESS. Otherwise, you NEED TO CHANGE ALL YOUR VENDOR ... IT'S ALL FAKE ....",Reviewed in India on 27 April 2025,0,Yes,10,NEGATIVE,-0.567,0,2,1,RELIABLE,23
Don’t waste your money. Too worst product. Find my device is also not working.,Reviewed in India on 11 May 2025,11,Yes,6,NEGATIVE,-0.767,0,3,0,RELIABLE,14
"I have tried all kinds of earbuds but nothing beats the Apple AirPods 4.
Sound quality is superb with active noise cancellation.
Also receiving and answering calls is very clear on the AirPods 4
It’s a 5 star review from me.",Reviewed in India on 8 November 2024,3,Yes,21,POSITIVE,0.8,3,0,0,RELIABLE,41
one of the best airpod. thank you for fast dlvry. loved it.,Reviewed in India on 10 January 2025,31,Yes,7,POSITIVE,0.7,3,0,0,RELIABLE,12
"This was a fake product not apple airpods , when I connect this to iPhone it named TWS DEVICE THIS IS FAKE I WANT MY MONEY BACK",Reviewed in India on 23 April 2025,0,Yes,12,NEGATIVE,-0.767,0,3,0,RELIABLE,27
Jus Don't go for this . Defective product,Reviewed in India on 16 May 2025,9,Yes,4,NEGATIVE,-0.567,0,2,1,RELIABLE,8
Should Amazon not spell out boldly that the cable usb is not included in the packet. Should it also not state that people often buy usb cable with it. Also that it would not fit into the charging port in the car. Both apple and Amazon come out in very poor light in this buy. Lo and behold shall need a new adapter too as the older one has been altered and yet again no mention of it before the unsuspecting buyers. So that’s 5000/- more to be spent. Shameful behaviour of supposedly well reputed companies.,Reviewed in India on 15 January 2025,3,Yes,48,NEGATIVE,-0.767,0,3,0,RELIABLE,96
Nice Qulaity of Sound and ANC is very good,Reviewed in India on 14 January 2025,0,Yes,7,POSITIVE,0.5,2,0,1,RELIABLE,9
"Loved the ease of pairing and sound quality!
The silicone case was bought separately.",Reviewed in India on 26 December 2024,0,Yes,7,POSITIVE,0.5,2,0,1,RELIABLE,14
It’s ok for show off. It sounds good in quiet places. But it’s worse in crowd. Sound leakage will be there if volume is above 70%. I suggest to take Airpods 4 with ANC which costs 4k more.,Reviewed in India on 5 November 2024,0,Yes,20,NEUTRAL,0.0,1,1,1,UNRELIABLE,38
"Please order directly from apple website , don’t order from amazon . My right earphones is not working. No assistance from amazon.",Reviewed in India on 11 April 2025,0,Yes,13,NEGATIVE,-0.767,0,3,0,RELIABLE,22
"Sound Quality is Excellent.
Value for money
Small size easy to carry",Reviewed in India on 17 December 2024,3,Yes,9,POSITIVE,0.7,3,0,0,RELIABLE,12
"Airports are working so bad I had very bad experience with this, a lot of noise I’m hearing when I’m on call please do me a favour replace this",Reviewed in India on 2 April 2025,2,Yes,15,NEGATIVE,-0.767,0,3,0,RELIABLE,29
As usual same like AirPod Pro-2- one of the worse mic,Reviewed in India on 20 April 2025,5,Yes,9,NEGATIVE,-0.567,0,2,1,RELIABLE,11
Received refurbished item. No option for replacement or refund,Reviewed in India on 27 April 2025,30,Yes,5,NEGATIVE,-0.767,0,3,0,RELIABLE,9
Received Worst prodct.. I got fake apple aipods 4,Reviewed in India on 23 April 2025,46,Yes,5,NEGATIVE,-0.767,0,3,0,RELIABLE,9
Little bit worried either product is fake or not. Once after got delivered i came to that its a original product.,Reviewed in India on 1 November 2024,18,Yes,10,POSITIVE,0.2,1,0,2,UNRELIABLE,21
"Its not showing pop on my iphone or ipad and even showing TWS in bluetooth setting .
Possibly Fake .
Not returnable.
Don’t buy .",Reviewed in India on 10 April 2025,0,Yes,12,NEGATIVE,-0.775,0,4,0,RELIABLE,25
Very good and comfortable fit in the ears. It doesn’t feel like they are in the ears. So lightweight and good sound quality and features like head gestures. It’s my first ever airpods and i am actually impressed by it’s performance.,Reviewed in India on 23 September 2024,0,Yes,23,POSITIVE,0.8,4,0,0,RELIABLE,41
"Item is good, but Amazon is sending badly packaged products",Reviewed in India on 8 April 2025,0,Yes,5,NEUTRAL,-0.05,1,1,0,UNRELIABLE,10
"Its good product but just because its ""Apple"" its costly. Otherwise there are other similar products in market which gives same experiance with half price. I would suggest dont waste money here.",Reviewed in India on 6 March 2025,0,Yes,18,NEGATIVE,-0.367,1,2,0,RELIABLE,32
This isn’t worth the price. A 5k realme buds can perform the same if not better,Reviewed in India on 30 March 2025,2,Yes,6,NEGATIVE,-0.75,0,2,0,RELIABLE,16
Very good to use,Reviewed in India on 22 November 2024,0,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,4
sounds good,Reviewed in India on 29 November 2024,3,Yes,1,NEUTRAL,0.0,0,0,1,UNRELIABLE,2
Good Product for price,Reviewed in India on 10 November 2024,24,Yes,4,POSITIVE,0.7,1,0,0,RELIABLE,4
"This airpod is not meant for everyone one. One basic thing which Apple forgot in their design and sellers just want to make money without any prior warnings. Yes, this doesn’t fit properly into the ears and frequently falls off from the ears. For people who have no issues with the fit, congrats! Return options also are not friendly. Such a waste of money. I wish there was a negative star rating!",Reviewed in India on 24 November 2024,4,Yes,39,NEGATIVE,-0.663,1,7,0,RELIABLE,72
"Best in this price segment loved it , clarity is awesome.",Reviewed in India on 21 October 2024,4,Yes,6,POSITIVE,0.85,2,0,0,RELIABLE,11
Suggesting you not to buy and it lacks design and won't fit in your ears. Its listing should be removed from amazon.,Reviewed in India on 28 February 2025,4,Yes,6,NEGATIVE,-0.85,0,2,0,RELIABLE,22
"fake AirPods product.
I already have Apple AirPods,
and I can clearly see the difference.
The seller is fooling customers.",Reviewed in India on 20 February 2025,0,Yes,10,NEGATIVE,-0.9,0,3,0,RELIABLE,20
Nice product,Reviewed in India on 30 September 2024,0,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,2
Please avoid wasting 12000 rupees. Very average product. Best buy something else.,Reviewed in India on 28 February 2025,3,Yes,7,NEGATIVE,-0.8,0,3,0,RELIABLE,12
"Apple has designed this very badly. It does not sit into the ears and does not have an ergonomic design for the ears… earlier AirPods were well designed but apple didn't support us with battery replacements …
Also it has shrill noise while we hear",Reviewed in India on 28 October 2024,20,Yes,19,NEGATIVE,-0.833,0,3,0,RELIABLE,45
"Product didn’t work properly No one is helping, Amazon is not providing support, the product has turned out to be defective, no one is providing replacement.
You are saying that you are going to Apple Service Center and you are checking there to get the denial letter.",Reviewed in India on 22 October 2024,30,Yes,17,NEGATIVE,-0.9,0,2,0,RELIABLE,47
Waste of money,Reviewed in India on 10 March 2025,2,Yes,3,NEUTRAL,0.0,0,0,1,UNRELIABLE,3
Do not buy this as this is very inconvenient to use. Go to Airpods pro only,Reviewed in India on 9 January 2025,49,Yes,6,NEUTRAL,-0.05,1,1,0,UNRELIABLE,16
"I don’t like this product, Please I want to take back my money.",Reviewed in India on 23 January 2025,3,Yes,5,NEGATIVE,-0.9,0,1,0,RELIABLE,13
"Pathetic product by Apple
Worst sound quality, total waste of money",Reviewed in India on 27 January 2025,0,Yes,11,NEGATIVE,-0.9,0,2,0,RELIABLE,11
not working. Though just about three months old.,Reviewed in India on 4 February 2025,0,Yes,5,NEGATIVE,-0.9,0,2,0,RELIABLE,8
"Please try before you buy. It was not a good fit for my ears, I have already lost one of my buds. It may be a best fit for your ears. Quality is good.",Reviewed in India on 14 November 2024,8,Yes,15,NEUTRAL,-0.021,4,5,10,UNRELIABLE,34
"This not at mark product, very slippery surface. not fitted in the ear. do not have noise cancellation. mic quality is poor. do not delivered voice as expected. It is very poor product by apple.",Reviewed in India on 15 November 2024,40,Yes,19,NEGATIVE,-0.482,0,16,6,RELIABLE,35
"Never trust Amazon and buy things , it’s defective new piece and can’t even return or exchange !!!",Reviewed in India on 10 December 2024,6,Yes,8,NEGATIVE,-0.64,0,5,0,RELIABLE,18
"There is no quality and no value for money
There is no response for return request after 24 hrs",Reviewed in India on 3 December 2024,5,Yes,10,NEGATIVE,-0.714,0,7,0,RELIABLE,19
Below standards useless worth less don't purchase I did a mistake if you too best of luck,Reviewed in India on 6 December 2024,4,Yes,10,NEGATIVE,-0.7,0,4,0,RELIABLE,17
"I have placed this airpods just because of the quality of sound.
But i can’t even talk over call clearly.
My voice is not clear to receiver.",Reviewed in India on 19 November 2024,42,Yes,12,NEGATIVE,-0.44,1,9,0,RELIABLE,27
"I RECEIVED PRODUCT WITH SEAL BROKE BOX(SEAL OF BOX WAS ALREADY BROKE
(",Reviewed in India on 19 November 2024,4,Yes,6,NEGATIVE,-0.467,0,2,1,RELIABLE,13
It’s fake iPods,Reviewed in India on 8 January 2025,4,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,3
Good product,Reviewed in India on 28 April 2025,3,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,2
"50 pens for Rs.186 is 🤯, but 4 pens didn't work properly, besides that, nothing is bad",Reviewed in India on 23 October 2024,0,Yes,5,NEGATIVE,-0.36,2,8,0,RELIABLE,17
"Worst product , not working at all. No flow of ink waste of money",Reviewed in India on 5 March 2025,0,Yes,10,NEGATIVE,-0.72,0,5,0,RELIABLE,14
"Go to riding flow, clear writing and a good grip. Or fast riding. I suggest to all my friends to use this product. Hindu grapes.",Reviewed in India on 2 November 2024,0,Yes,13,POSITIVE,0.257,5,0,9,RELIABLE,25
"The seal was opened, the pens quantity mentioned is 50 but I have received 45 pens only",Reviewed in India on 14 January 2025,0,Yes,5,NEGATIVE,-0.457,0,5,2,RELIABLE,17
Reynolds but this pen is not useful,Reviewed in India on 13 May 2025,0,Yes,3,NEGATIVE,-0.467,0,2,1,RELIABLE,7
The Reynolds DFINE Ball Pen Set is awesome! It has 50 blue pens that feel really comfy to hold. Perfect for writing a lot without getting tired! Recommended purchase.,Reviewed in India on 24 October 2024,0,Yes,15,POSITIVE,0.24,5,0,10,RELIABLE,29
Worth for money,Reviewed in India on 15 November 2024,2,Yes,3,NEUTRAL,0.0,0,0,1,UNRELIABLE,3
We have received one pen less in the box,Reviewed in India on 24 November 2024,0,Yes,5,NEGATIVE,-0.467,0,2,1,RELIABLE,9
"It stands out for its superior quality and durability. The comfortable grip ensures ease during long writing sessions, and it has excellent performance as it has 0.7 mm tip provides consistent, clean lines. Its balanced thickness is perfect for both detailed work and everyday use. A top-notch pen set for students and professionals alike.",Reviewed in India on 5 June 2024,0,Yes,34,POSITIVE,0.358,10,0,9,RELIABLE,54
The pens are not at all comfortable to hold and cause irritation while writing. The ink exhausts very fast and doesn't last long. Don't go for these.,Reviewed in India on 19 February 2025,0,Yes,11,NEGATIVE,-0.62,0,10,0,RELIABLE,27
Checks pen is it working or not,Reviewed in India on 21 October 2024,0,Yes,2,NEGATIVE,-0.133,0,1,2,UNRELIABLE,7
Nice pen go ahead,Reviewed in India on 6 March 2025,0,Yes,3,POSITIVE,0.2,1,1,1,UNRELIABLE,4
"PLEASE DO NOT BUY THIS. This is the worst pen I've ever used. The ink is very light and sometimes even dry. Waste of money. Had expectations cuz of the brand, but this was disappointing.",Reviewed in India on 22 April 2025,0,Yes,18,NEGATIVE,-0.7,0,5,0,RELIABLE,35
"I never thought the pens will be soo good . comfortable , light weight , best grip , transparent body , but 3 star because: ink is very light and it's not soo smooth . It will be smooth when you hold it appropriately . but ,till you get used to it you will be uncomfortable with the pen .",Reviewed in India on 7 April 2024,0,Yes,23,POSITIVE,0.28,3,1,1,RELIABLE,60
Pen is good but I ordered one packet and they sent it 4 packets .,Reviewed in India on 10 September 2024,0,Yes,5,NEUTRAL,0.067,1,1,1,UNRELIABLE,15
Product short delivery by one piece in each pack please supply the missing pens immediately,Reviewed in India on 6 September 2024,2,Yes,11,NEGATIVE,-0.333,0,2,1,RELIABLE,15
"Click to play video
Bought 25pen @₹90

Fast, easy, light weight
Quality is good
Not very good appearance
Not refillable means use once and throw style
Sturdy build with easy to hold but no grip is provided.
Overall good product.",Reviewed in India on 8 May 2024,2,Yes,22,POSITIVE,0.183,3,2,1,UNRELIABLE,40
"I bought it at huge discount, it's for normal use.",Reviewed in India on 31 July 2024,0,Yes,6,POSITIVE,0.25,1,0,1,RELIABLE,10
Got in discount rate. Good Grip for me while writing.,Reviewed in India on 27 July 2024,4,Yes,6,POSITIVE,0.35,1,0,1,RELIABLE,10
Smooth flow of ink and the grip is nice and comfortable.Its very much worth the money u pay.,Reviewed in India on 5 May 2024,0,Yes,11,POSITIVE,0.5,2,0,1,RELIABLE,18
"The pens are comfortable with a solid grip for extended writing sessions. However, the pricing seems inconsistent; the MRP for a box of 25 pens is 125 rupees, but it's listed at 250 rupees with a displayed discount of 60%.",Reviewed in India on 28 January 2024,0,Yes,23,NEUTRAL,-0.0,2,2,0,UNRELIABLE,40
It is written 50 pens in box But only 49 there ...it is not good,Reviewed in India on 3 January 2025,0,Yes,6,NEGATIVE,-0.367,0,2,1,RELIABLE,15
Pens are good,Reviewed in India on 27 January 2025,0,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,3
The pens are smooth and and the nib is thin just as I like.The pen is very light to hold and you don't get any grip on it but it feels good while writing. The only problem is that it can smudge sometimes. Otherwise the performance and quality are awesome...,Reviewed in India on 26 September 2023,2,Yes,18,POSITIVE,0.425,3,1,0,RELIABLE,50
I think ink of pens are expired because all of the pens are not writing so if you get in low price plz don't buy it,Reviewed in India on 12 November 2024,0,Yes,10,NEGATIVE,-0.5,0,3,0,RELIABLE,26
Very smooth pen. But MRP is mentioned 250 and 500 on same bottle. Not sure what is correct,Reviewed in India on 2 February 2024,0,Yes,9,POSITIVE,0.133,1,1,1,UNRELIABLE,18
All pens are working..smooth and good,Reviewed in India on 7 January 2025,0,Yes,2,POSITIVE,0.467,2,0,1,RELIABLE,6
Little bit costly ... but very smooth and nice,Reviewed in India on 25 April 2024,0,Yes,6,POSITIVE,0.233,2,1,0,RELIABLE,9
"Don't buy this..
Total waste product",Reviewed in India on 29 April 2025,0,Yes,3,NEGATIVE,-0.75,0,2,0,RELIABLE,6
"This one is super smooth and has great writing quality, so it's definitely worth buying!",Reviewed in India on 29 November 2024,0,Yes,8,POSITIVE,0.5,2,0,1,RELIABLE,15
Good pens with good ink. Long lasting ink but has one problem with grip. Not good grip. Slips from hand while writing with sweaty hands,Reviewed in India on 21 November 2023,0,Yes,19,NEUTRAL,-0.06,2,3,0,UNRELIABLE,25
If u want to have a cheap pen and want smoothness as well . Best pen in this category. My set of pen was really well packed and good product,Reviewed in India on 31 October 2023,3,Yes,17,POSITIVE,0.833,3,0,0,RELIABLE,30
Very bad ink quality,Reviewed in India on 24 June 2024,0,Yes,4,NEGATIVE,-0.8,0,1,0,RELIABLE,4
PL SEAL THE CONTAINER ; OPEN CONTAINER ..... THERE WERE ONLY 22 PENS,Reviewed in India on 30 April 2024,0,Yes,7,NEGATIVE,-0.5,0,2,0,RELIABLE,13
I was conducting a workshop and used the new pens for the debate. Not all pens were working and it was embarassing. I had to keep replacing the pens.,Reviewed in India on 7 October 2024,0,Yes,7,NEGATIVE,-0.467,0,2,1,RELIABLE,29
I recieved this package today afternoon but didn't get time to open up .but when I opened it i find that my packet is open from above and there is pen less too .please see to this . Attaching pics too,Reviewed in India on 21 July 2024,0,Yes,15,NEGATIVE,-0.467,0,2,1,RELIABLE,41
Kafi thik price hai,Reviewed in India on 2 December 2024,0,Yes,4,POSITIVE,0.3,1,0,1,RELIABLE,4
I received 4 pen are broken conditions very worst...,Reviewed in India on 22 March 2024,0,Yes,4,NEGATIVE,-0.8,0,2,0,RELIABLE,9
"MRP showing 500 but actual MRP is 250
Pens are good",Reviewed in India on 16 March 2024,0,Yes,5,POSITIVE,0.2,1,1,0,UNRELIABLE,11
Its not dark..very light but smooth though,Reviewed in India on 9 April 2024,0,Yes,4,POSITIVE,0.3,1,0,1,RELIABLE,7
Most ball point ink dried condition and to return back,Reviewed in India on 13 March 2024,3,Yes,6,NEGATIVE,-0.6,0,1,0,RELIABLE,10
Many of the pens don't work properly.,Reviewed in India on 3 November 2024,0,Yes,4,NEGATIVE,-0.8,0,1,0,RELIABLE,7
Not very smooth and continuous,Reviewed in India on 1 April 2024,0,Yes,3,NEUTRAL,0.0,0,0,1,UNRELIABLE,5
"Writes smoothly,size and flow of ink in perfect for a good hand writing experience",Reviewed in India on 17 October 2024,0,Yes,12,POSITIVE,0.8,1,0,0,RELIABLE,14
Writes smooth and dark blue. Nice product.,Reviewed in India on 4 January 2024,0,Yes,5,POSITIVE,0.8,2,0,0,RELIABLE,7
"very 3 rd class quality of this pen, point is automatically loose and cannot write a single alfabet or 1 inch of line, so very disappoint",Reviewed in India on 23 February 2025,0,Yes,16,NEGATIVE,-1.0,0,2,0,RELIABLE,26
Mrp is 5 not 10 as specified. However working fine.,Reviewed in India on 18 October 2024,0,Yes,3,POSITIVE,0.6,2,0,0,RELIABLE,10
product is excellent .. I keep repeating orders because I distribute pens free in my hospital dialysis room where I go for dialysis 3 times a week,Reviewed in India on 26 July 2024,0,Yes,13,POSITIVE,0.8,2,0,0,RELIABLE,27
Good best price pen.,Reviewed in India on 6 November 2024,0,Yes,4,POSITIVE,0.8,1,0,0,RELIABLE,4
Reasonable price. Withprompt service delivery,Reviewed in India on 27 October 2024,0,Yes,4,POSITIVE,0.7,2,0,0,RELIABLE,5
West for money,Reviewed in India on 4 March 2024,2,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,3
"The pens are of very bad quality.
Each pen stops working after a little ink is used up. It happens with at least half of the pens in the box. They stopped working even when about 70% of the ink is still in the pen.",Reviewed in India on 6 March 2024,0,Yes,24,NEGATIVE,-0.75,0,4,0,RELIABLE,45
"I have purchased 50 pens . 29 of them is not working. You have made me fool by giving such a huge discount and sold me defective product... please don't buy pens from Amazon.. these pens do not deserve even 1 star... then I exchanged those pens . The exchanged order I got, was even worse. None of those pens were working... how fool they are making people..don't buy pens from this seller.",Reviewed in India on 6 October 2024,0,Yes,28,NEGATIVE,-0.6,0,5,2,RELIABLE,73
Looks good to write with this pen.,Reviewed in India on 10 October 2024,0,Yes,3,POSITIVE,0.7,1,0,0,RELIABLE,7
"I ordered it because it's price with delivery charges is even less the the product whole MRP
But now I understand why because 5 to 6 pens are working only and all pens left doesn't work few of them work sometime o sometimes not not to buy it
And even can't return or exchange it is only replaced by the same another item",Reviewed in India on 20 October 2024,0,Yes,23,NEGATIVE,-0.525,0,3,1,RELIABLE,63
